team,position,full_name,gsis_id,week,touches,snap_share,rush_share,target_share,weighted_opp_share,total_touchdowns,delta_touches,touches_3wk_avg,touches_trend_3v7,snap_share_3wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_trend_3v7,rush_ypc,rush_yoe_per_att,rush_yoe_per_game,stacked_box_rate,catch_rate,rec_yards_per_target,avg_yac_above_expectation,team_implied_points,is_favored,abs_spread,def_rush_ypa_allowed,def_rb_carries_allowed,def_rb_receptions_allowed,def_rb_touchdowns_allowed,def_rb_fantasy_points_allowed,years_exp_filled,is_rookie,is_undrafted,draft_number_filled
BAL,RB,Derrick Henry,00-0032764,5,16.0,0.65,0.7894736842105263,0.05,18.0,1.0,5.0,13.333333333333334,-0.6666666666666661,0.5066666666666667,-0.033333333333333326,9.266666666666667,-2.5933333333333337,0.6666666666666666,-0.13333333333333341,2.2,-0.5547438033532719,-8.321157050299078,20.0,0.0,0.0,0.0,28.25,1,2.5,3.79,19.46,4.00,0.770.08,14.08,9,0,0,45.0
BAL,RB,Derrick Henry,00-0032764,4,11.0,0.38,0.47058823529411764,0.09090909090909091,17.0,0.0,-2.0,11.666666666666666,-1.833333333333334,0.49333333333333335,-0.01916666666666661,6.933333333333334,-5.566666666666666,0.3333333333333333,-0.4166666666666667,5.25,0.0,0.0,0.0,0.6666666666666666,5.333333333333333,0.0,27.25,0,2.5,4.30,20.62,5.15,0.770.23,17.69,9,0,0,45.0
BAL,RB,Derrick Henry,00-0032764,10,23.0,0.67,0.5555555555555556,0.10344827586206896,29.0,0.0,3.0,21.666666666666668,2.9523809523809526,0.63,0.07285714285714284,14.533333333333331,2.3333333333333304,0.6666666666666666,0.09523809523809523,3.75,0.2956685125929027,5.913370251858055,30.0,1.0,3.0,0.0,20.75,0,4.5,4.30,20.62,5.15,0.770.23,17.69,9,0,0,45.0
BAL,RB,Derrick Henry,00-0032764,1,19.0,0.57,0.6206896551724138,0.05263157894736842,21.0,2.0,0.0,19.0,0.0,0.57,0.0,29.200000000000003,0.0,2.0,0.0,9.38888888888889,3.010082769632047,54.181489853376846,16.666666666666664,1.0,13.0,0.0,39.75,0,1.5,4.30,20.62,5.15,0.770.23,17.69,9,0,0,45.0
BAL,RB,Derrick Henry,00-0032764,3,13.0,0.49,0.631578947368421,0.03571428571428571,15.0,1.0,2.0,14.333333333333334,0.0,0.5566666666666666,0.0,14.066666666666668,0.0,1.0,0.0,4.166666666666667,1.1542553024057924,13.85106362886951,58.333333333333336,1.0,7.0,0.0,31.75,0,4.5,3.98,20.15,3.62,0.460.00,12.46,9,0,0,45.0
BAL,RB,Derrick Henry,00-0032764,8,22.0,0.58,0.6,0.045454545454545456,24.0,2.0,-4.0,21.333333333333332,4.4761904761904745,0.5733333333333334,0.03476190476190477,14.133333333333335,0.9333333333333336,1.0,0.1428571428571429,3.380952380952381,-0.0203578527966303,-0.42751490872923625,52.38095238095239,0.0,0.0,0.0,21.75,0,2.5,4.93,20.92,3.92,0.620.23,16.62,9,0,0,45.0
BAL,RB,Derrick Henry,00-0032764,13,11.0,0.4,0.45454545454545453,0.03125,13.0,1.0,-12.0,18.0,-2.7142857142857153,0.5000000000000001,-0.05428571428571416,20.133333333333333,3.276190476190475,1.3333333333333333,0.47619047619047616,6.0,1.7149008620435957,17.149008620435957,0.0,1.0,44.0,0.0,19.5,0,7.0,5.18,24.38,5.08,0.850.46,24.77,9,0,0,45.0
BAL,RB,Derrick Henry,00-0032764,11,20.0,0.54,0.6,0.08,24.0,1.0,-3.0,21.0,1.2857142857142847,0.6166666666666667,0.05238095238095242,14.9,1.3428571428571416,0.3333333333333333,-0.23809523809523808,5.722222222222222,1.9016194733610314,34.229150520498564,33.33333333333333,1.0,9.5,0.0,15.75,0,7.5,4.30,20.62,5.15,0.770.23,17.69,9,0,0,45.0
BAL,RB,Derrick Henry,00-0032764,6,26.0,0.49,0.6486486486486487,0.058823529411764705,30.0,0.0,10.0,17.666666666666668,1.6666666666666679,0.5066666666666667,-0.02499999999999991,10.366666666666667,-1.8500000000000014,0.3333333333333333,-0.3333333333333333,5.083333333333333,0.4479783809906473,10.751481143775536,41.66666666666667,0.5,4.0,0.0,13.5,1,7.0,3.77,20.92,4.69,0.150.15,11.54,9,0,0,45.0
BAL,RB,Derrick Henry,00-0032764,2,11.0,0.61,0.5238095238095238,0.0,11.0,0.0,-8.0,15.0,0.0,0.59,0.0,15.750000000000002,0.0,1.0,0.0,2.090909090909091,-0.6157237693019759,-6.772961462321735,54.54545454545454,0.0,0.0,0.0,22.75,0,12.5,3.92,22.69,4.31,0.540.15,15.15,9,0,0,45.0
BAL,RB,Derrick Henry,00-0032764,12,23.0,0.56,0.6176470588235294,0.08695652173913043,27.0,2.0,3.0,22.0,0.571428571428573,0.59,0.0,18.133333333333333,2.433333333333332,1.0,0.1428571428571429,3.0476190476190474,-0.26344295806144724,-5.532302119290392,66.66666666666666,1.0,12.0,0.0,9.5,0,14.0,4.37,25.69,3.38,1.150.31,21.77,9,0,0,45.0
MIN,RB,C.J. Ham,00-0032918,7,1.0,0.0,0.0,0.023809523809523808,3.0,0.0,1.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,26.25,1,2.5,4.38,23.23,3.69,0.770.31,20.00,9,0,1,275.0
MIN,RB,C.J. Ham,00-0032918,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25,0,3.5,3.96,26.62,3.31,0.770.00,15.31,9,0,1,275.0
MIN,RB,C.J. Ham,00-0032918,10,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25,1,4.5,4.30,20.62,5.15,0.770.23,17.69,9,0,1,275.0
MIN,RB,C.J. Ham,00-0032918,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75,1,6.5,3.96,26.62,3.31,0.770.00,15.31,9,0,1,275.0
MIN,RB,C.J. Ham,00-0032918,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666666,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.25,1,12.5,3.96,26.62,3.31,0.770.00,15.31,9,0,1,275.0
MIN,RB,C.J. Ham,00-0032918,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.08333333333333331,0.0,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0,3.0,4.93,20.92,3.92,0.620.23,16.62,9,0,1,275.0
SF,RB,Christian McCaffrey,00-0033280,1,32.0,0.76,0.6111111111111112,0.2857142857142857,52.0,0.0,0.0,32.0,0.0,0.76,0.0,23.200000000000003,0.0,0.0,0.0,3.1363636363636362,-1.1528841221432358,-25.363450687151186,9.090909090909092,0.9,7.3,0.0,13.75,0,2.5,4.24,20.38,5.77,0.540.23,15.46,8,0,0,8.0
SF,RB,Christian McCaffrey,00-0033280,9,34.0,0.86,0.717948717948718,0.25,46.0,2.0,20.0,26.666666666666668,-1.3333333333333321,0.8566666666666666,-0.020476190476190537,27.73333333333333,1.547619047619044,1.3333333333333333,0.33333333333333326,3.7857142857142856,-0.6310627612708992,-17.66975731558518,21.428571428571427,0.8333333333333334,11.166666666666666,0.0,27.75,0,2.5,4.24,20.38,5.77,0.540.23,15.46,8,0,0,8.0
SF,RB,Christian McCaffrey,00-0033280,8,14.0,0.96,0.8,0.1875,26.0,0.0,-18.0,23.666666666666668,-2.333333333333332,0.88,0.01571428571428557,24.333333333333332,-0.19523809523809987,1.0,0.1428571428571429,3.125,0.0,0.0,0.0,0.5,7.166666666666667,0.0,21.75,1,2.5,4.24,20.38,5.77,0.540.23,15.46,8,0,0,8.0
SF,RB,Christian McCaffrey,00-0033280,2,20.0,0.77,0.5,0.1794871794871795,34.0,1.0,-12.0,26.0,0.0,0.765,0.0,22.950000000000003,0.0,0.5,0.0,4.230769230769231,-0.1930060513330601,-2.5090786673297814,30.76923076923077,0.8571428571428571,7.428571428571429,0.0,22.0,0,3.0,4.24,20.38,5.77,0.540.23,15.46,8,0,0,8.0
