team,position,full_name,gsis_id,week,targets,air_yards,snap_share,target_share,air_yards_share,total_touchdowns,delta_targets,rush_attempts,rush_ypa,rush_share,targets_3wk_avg,targets_trend_3v7,air_yards_3wk_avg,air_yards_trend_3v7,snap_share_3wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_trend_3v7,gadget_usage_3wk_avg,yards_per_target,rec_td_rate,catch_rate,fp_per_target,percent_share_of_intended_air_yards,avg_separation,avg_cushion,avg_yac_above_expectation,racr,team_implied_points,is_favored,abs_spread,def_wr_ftps,def_wr_targets,def_wr_yards_per_target,years_exp_filled,is_rookie,is_second_year,is_undrafted,draft_number_filled
LAC,WR,Keenan Allen,00-0030279,8,5.0,56.0,0.25,0.2,25.13386722266976,0.0,-9.0,0.0,0.0,0.0,8.666666666666666,0.0952380952380949,83.66666666666667,12.095238095238102,0.4833333333333334,-0.08952380952380945,15.666666666666664,0.9380952380952348,0.3333333333333333,-0.09523809523809523,0.0,8.8,0.0,0.8,1.6800000000000002,25.13386722266976,2.1018263368541064,4.564,0.17942790254301322,0.7857142857142857,22.0,0,3.0,14.38,14.15,8.387985865724382,12,0,0,0,76.0
LAC,WR,Keenan Allen,00-0030279,3,11.0,108.0,0.65,0.23404255319148937,30.03790271636134,1.0,4.0,0.0,0.0,0.0,9.333333333333334,0.0,83.66666666666667,0.0,0.6066666666666667,0.0,18.8,0.0,1.0,0.0,0.0,5.909090909090909,0.14285714285714285,0.6363636363636364,1.7727272727272727,30.03790271636134,1.3944741864166448,8.53909090909091,-0.1912811476747075,0.6018518518518519,20.25,0,2.5,15.15,20.15,6.5126550868486355,12,0,0,0,76.0
LAC,WR,Keenan Allen,00-0030279,1,10.0,89.0,0.62,0.29411764705882354,27.49039495927462,1.0,0.0,0.0,0.0,0.0,10.0,0.0,89.0,0.0,0.62,0.0,19.8,0.0,1.0,0.0,0.0,6.8,0.14285714285714285,0.7,1.98,27.49039495927462,3.49728112224411,5.199999999999999,-0.3405729855716797,0.7640449438202247,25.5,1,3.0,16.85,17.77,7.748452447945977,12,0,0,0,76.0
BAL,WR,DeAndre Hopkins,00-0030564,9,1.0,40.0,0.32,0.043478260869565216,,0.0,0.0,0.0,0.0,0.0,2.0,0.1428571428571428,36.666666666666664,2.2380952380952337,0.34,0.0485714285714286,2.1333333333333333,-2.1095238095238096,0.0,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,,0.0,13.25,0,7.5,20.54,21.23,7.42769665567593,12,0,0,0,27.0
BAL,WR,DeAndre Hopkins,00-0030564,4,1.0,20.0,0.33,0.030303030303030304,,0.0,-1.0,0.0,0.0,0.0,1.6666666666666667,-0.08333333333333326,36.0,0.75,0.25333333333333335,-0.024166666666666614,5.566666666666666,-1.4833333333333334,0.3333333333333333,-0.16666666666666669,0.0,0.0,0.0,0.0,0.0,,,,,0.0,27.25,0,2.5,20.54,21.23,7.42769665567593,12,0,0,0,27.0
BAL,WR,DeAndre Hopkins,00-0030564,1,2.0,33.0,0.35,0.10526315789473684,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,0.0,0.35,0.0,11.5,0.0,1.0,0.0,0.0,17.5,0.5,1.0,5.75,,,,,1.0606060606060606,39.75,0,1.5,20.54,21.23,7.42769665567593,12,0,0,0,27.0
BAL,WR,DeAndre Hopkins,00-0030564,14,0.0,0.0,0.16,0.0,,0.0,-3.0,0.0,0.0,0.0,2.0,-0.2857142857142856,20.333333333333332,-6.380952380952383,0.36000000000000004,-0.02999999999999997,2.6,0.32857142857142874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,21.75,0,5.5,21.54,21.92,7.748631386861313,12,0,0,0,27.0
BAL,WR,DeAndre Hopkins,00-0030564,13,3.0,31.0,0.38,0.09375,,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.4761904761904763,40.666666666666664,5.666666666666664,0.5366666666666666,0.12238095238095231,3.3000000000000003,0.45714285714285774,0.0,0.0,0.0,8.333333333333334,0.0,0.6666666666666666,1.5,,,,,0.8064516129032258,19.5,0,7.0,15.46,15.00,7.979333333333333,12,0,0,0,27.0
BAL,WR,DeAndre Hopkins,00-0030564,11,4.0,61.0,0.69,0.16,,0.0,0.0,0.0,0.0,0.0,3.0,0.5714285714285716,38.0,5.571428571428569,0.4266666666666667,0.05952380952380959,1.9000000000000001,-0.7714285714285711,0.0,0.0,0.0,2.75,0.0,0.25,0.525,,,,,0.18032786885245902,15.75,0,7.5,20.54,21.23,7.42769665567593,12,0,0,0,27.0
BAL,WR,DeAndre Hopkins,00-0030564,12,3.0,30.0,0.54,0.13043478260869565,,0.0,-1.0,0.0,0.0,0.0,3.6666666666666665,0.9523809523809521,34.666666666666664,0.8095238095238102,0.5,0.10285714285714287,3.0,-0.1428571428571428,0.0,0.0,0.0,4.333333333333333,0.0,0.6666666666666666,1.0999999999999999,,,,,0.43333333333333335,9.5,0,14.0,16.31,16.23,7.895871842267407,12,0,0,0,27.0
BAL,WR,DeAndre Hopkins,00-0030564,6,4.0,58.0,0.33,0.11764705882352941,,0.0,2.0,0.0,0.0,0.0,2.3333333333333335,0.16666666666666696,33.666666666666664,-3.3333333333333357,0.3066666666666667,0.023333333333333373,3.5333333333333337,-2.9333333333333322,0.0,-0.3333333333333333,0.0,5.0,0.0,0.5,1.0,,,,,0.3448275862068966,13.5,1,7.0,18.62,20.08,7.41284860557769,12,0,0,0,27.0
