team,position,full_name,gsis_id,week,targets,air_yards,snap_share,target_share,air_yards_share,total_touchdowns,delta_targets,rush_attempts,rush_ypa,rush_share,targets_3wk_avg,targets_trend_3v7,air_yards_3wk_avg,air_yards_trend_3v7,snap_share_3wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_trend_3v7,gadget_usage_3wk_avg,yards_per_target,rec_td_rate,catch_rate,fp_per_target,avg_separation,avg_cushion,avg_yac_above_expectation,racr,team_implied_points,is_favored,abs_spread,def_te_ftps,def_te_targets,def_te_yards_per_target,years_exp_filled,is_rookie,is_second_year,is_undrafted,draft_number_filled
KC,TE,Travis Kelce,00-0030506,11,13.0,61.0,0.79,0.28888888888888886,19.683554957077934,1.0,8.0,0.0,0.0,0.0,8.666666666666666,1.666666666666666,55.666666666666664,14.238095238095234,0.85,0.08857142857142852,18.86666666666667,3.4809523809523846,0.6666666666666666,0.23809523809523808,0.0,7.0,0.1111111111111111,0.6923076923076923,1.853846153846154,3.000555742038496,4.833333333333333,0.5596627728522305,1.4918032786885247,18.75,0,3.5,5.38,5.69,8.151142355008787,12,0,0,0,63.0
KC,TE,Travis Kelce,00-0030506,4,5.0,16.0,0.66,0.13513513513513514,5.640819606267577,0.0,-2.0,0.0,0.0,0.0,6.0,0.5,28.0,1.0,0.7233333333333333,-0.029166666666666674,8.833333333333334,-0.9666666666666668,0.0,-0.25,0.0,9.6,0.0,1.0,1.9600000000000002,3.1459404539065394,5.906666666666666,-1.1142833572344983,3.0,29.75,1,2.5,5.38,6.38,7.5,12,0,0,0,63.0
KC,TE,Travis Kelce,00-0030506,9,5.0,53.0,0.92,0.14705882352941177,13.635492984724419,0.0,-3.0,0.0,0.0,0.0,5.333333333333333,-0.8095238095238102,42.666666666666664,5.523809523809518,0.7933333333333333,0.03904761904761911,13.633333333333335,0.7476190476190467,0.3333333333333333,0.047619047619047616,0.0,13.2,0.0,0.8,2.12,3.1714728449282004,3.135,-1.0828118857488054,1.2452830188679245,23.25,0,2.5,5.38,5.69,8.151142355008787,12,0,0,0,63.0
KC,TE,Travis Kelce,00-0030506,2,6.0,37.0,0.77,0.20689655172413793,11.848912196159029,0.0,2.0,0.0,0.0,0.0,5.0,0.0,30.5,0.0,0.8049999999999999,0.0,11.4,0.0,0.5,0.0,0.0,10.166666666666666,0.0,0.6666666666666666,1.6833333333333336,2.1181410193847916,3.79,1.079058902692939,1.6486486486486487,19.25,1,1.5,4.38,6.54,5.033639143730887,12,0,0,0,63.0
KC,TE,Travis Kelce,00-0030506,1,4.0,24.0,0.84,0.10256410256410256,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,0.0,0.84,0.0,12.7,0.0,1.0,0.0,0.0,11.75,0.5,0.5,3.175,0.0,0.0,0.0,1.9583333333333333,22.5,0,3.0,5.38,5.69,8.151142355008787,12,0,0,0,63.0
KC,TE,Travis Kelce,00-0030506,5,8.0,33.0,0.8,0.1951219512195122,7.895850973751058,1.0,3.0,0.0,0.0,0.0,6.666666666666667,0.666666666666667,26.666666666666668,-1.5333333333333314,0.7333333333333334,-0.028666666666666618,11.833333333333334,0.17333333333333378,0.3333333333333333,-0.06666666666666671,0.0,7.625,0.14285714285714285,0.875,2.3875,3.225365729217102,7.276000000000001,0.0555966190130297,1.8484848484848484,27.75,0,3.5,5.38,5.69,8.151142355008787,12,0,0,0,63.0
KC,TE,Travis Kelce,00-0030506,12,6.0,76.0,0.88,0.13043478260869565,18.545524321212703,0.0,-7.0,1.0,1.0,0.024390243902439025,8.0,0.8571428571428568,63.333333333333336,13.333333333333336,0.8633333333333333,0.07047619047619036,14.366666666666669,-0.8190476190476179,0.3333333333333333,-0.09523809523809523,0.3333333333333333,7.166666666666667,0.0,0.6666666666666666,1.3999999999999997,2.5611563387835363,4.446666666666666,1.9205821041382602,0.5657894736842105,19.75,0,3.5,8.46,8.69,7.896432681242809,12,0,0,0,63.0
KC,TE,Travis Kelce,00-0030506,14,5.0,39.0,0.91,0.15151515151515152,11.849185438082158,0.0,-1.0,0.0,0.0,0.0,5.666666666666667,-0.9047619047619042,57.333333333333336,5.761904761904766,0.9,0.06142857142857139,8.566666666666668,-4.390476190476189,0.3333333333333333,-0.09523809523809523,0.3333333333333333,1.6,0.0,0.2,0.36,2.977834396902978,5.863333333333333,-1.8706635811268644,0.20512820512820512,12.75,0,4.5,4.54,6.00,6.346666666666667,12,0,0,0,63.0
KC,TE,Travis Kelce,00-0030506,3,7.0,31.0,0.74,0.1891891891891892,9.956134520802864,0.0,1.0,0.0,0.0,0.0,5.666666666666667,0.0,30.666666666666668,0.0,0.7833333333333333,0.0,9.799999999999999,0.0,0.3333333333333333,0.0,0.0,3.7142857142857144,0.0,0.5714285714285714,0.9428571428571428,3.198188680187751,3.911666666666667,1.1849157451852381,0.8387096774193549,12.5,0,6.0,5.38,5.69,8.151142355008787,12,0,0,0,63.0
NYG,TE,Chris Manhertz,00-0031484,7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14285714285714285,0.0,-0.14285714285714285,0.14333333333333334,-0.03666666666666665,0.0,-0.24285714285714288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.25,1,7.5,6.31,7.08,6.464689265536723,10,0,0,1,275.0
