team_abbrev,season,def_pass_ypa_allowed,def_total_tds_allowed,def_pass_int_rate_forced,def_sack_rate,def_fantpt_allowed,def_rush_ypa_allowed
BUF,2025,6.684895833333333,1.4285714285714286,0.7142857142857143,2.2142857142857144,13.8,6.822222222222222
SEA,2025,5.962,1.3571428571428572,1.1428571428571428,3.0,13.8,5.288888888888889
CLE,2025,6.84020618556701,1.5714285714285714,0.7142857142857143,3.357142857142857,13.7,3.018181818181818
MIN,2025,6.99746192893401,1.0714285714285714,0.35714285714285715,2.5,13.1,4.6938775510204085
LAC,2025,6.332541567695962,1.1428571428571428,1.2142857142857142,2.857142857142857,12.1,4.241379310344827
HOU,2025,6.181208053691275,1.0714285714285714,1.0714285714285714,2.7142857142857144,11.8,6.4186046511627906
DAL,2024,7.915851272015655,2.235294117647059,0.7647058823529411,3.0588235294117645,20.9,5.946236559139785
CAR,2024,7.612903225806452,2.3529411764705883,0.5294117647058824,1.8823529411764706,20.5,4.746987951807229
JAX,2024,7.9119170984455955,1.8235294117647058,0.35294117647058826,2.0,20.1,4.761363636363637
ATL,2024,6.876306620209059,2.176470588235294,0.7058823529411765,1.7647058823529411,20.0,4.95
TB,2024,7.0812101910828025,1.9411764705882353,0.4117647058823529,2.7058823529411766,19.8,4.37037037037037
CIN,2024,7.020979020979021,2.0,0.8823529411764706,2.1176470588235294,18.9,4.87037037037037
BAL,2024,7.157051282051282,1.7058823529411764,0.7058823529411765,3.176470588235294,17.8,3.7580645161290325
LV,2024,7.110516934046346,1.8823529411764706,0.5882352941176471,2.176470588235294,17.8,4.3538461538461535
LA,2024,7.5664206642066425,1.8823529411764706,0.7647058823529411,2.235294117647059,17.7,4.917808219178082
CLE,2024,7.5984251968503935,1.588235294117647,0.17647058823529413,2.411764705882353,17.6,4.505154639175258
DET,2024,7.231527093596059,1.411764705882353,0.9411764705882353,2.176470588235294,17.5,6.219178082191781
IND,2024,7.573529411764706,1.8235294117647058,0.9411764705882353,2.1176470588235294,17.2,4.2368421052631575
NYG,2024,7.691848906560637,1.588235294117647,0.29411764705882354,2.6470588235294117,17.1,5.302631578947368
KC,2024,6.977152899824253,1.6470588235294117,0.7647058823529411,2.2941176470588234,17.0,4.931818181818182
HOU,2024,6.791666666666667,2.0,1.1176470588235294,2.8823529411764706,16.9,6.666666666666667
TEN,2024,6.807203389830509,1.8823529411764706,0.6470588235294118,1.8823529411764706,16.7,5.178571428571429
ARI,2024,7.291280148423006,1.5294117647058822,0.5294117647058824,2.411764705882353,16.4,4.391304347826087
NE,2024,7.033771106941838,1.6470588235294117,0.4117647058823529,1.6470588235294117,16.3,3.4477611940298507
NYJ,2024,6.9,1.5294117647058822,0.4117647058823529,2.4705882352941178,16.2,4.166666666666667
SEA,2024,6.90669014084507,1.588235294117647,0.7647058823529411,2.6470588235294117,16.2,4.048387096774194
SF,2024,6.749514563106796,1.7058823529411764,0.6470588235294118,2.1176470588235294,16.1,5.0181818181818185
NO,2024,7.267343485617597,1.1764705882352942,0.8235294117647058,2.2941176470588234,16.0,5.425
LAC,2024,6.664893617021277,1.588235294117647,0.8823529411764706,2.7058823529411766,15.9,5.444444444444445
DEN,2024,6.751655629139073,1.4705882352941178,0.8823529411764706,3.7058823529411766,15.7,4.402985074626866
BUF,2024,7.093425605536332,1.7647058823529411,0.9411764705882353,2.2941176470588234,15.7,4.962264150943396
WAS,2024,7.026315789473684,1.5294117647058822,0.4117647058823529,2.4705882352941178,15.5,4.197530864197531
PIT,2024,7.132302405498282,1.4705882352941178,1.0,2.3529411764705883,14.8,4.017543859649122
PHI,2024,6.025830258302583,1.4705882352941178,0.7647058823529411,2.411764705882353,14.5,4.77027027027027
MIN,2024,7.001574803149606,1.4705882352941178,1.411764705882353,2.8823529411764706,14.5,3.2
GB,2024,7.0195035460992905,1.411764705882353,0.9411764705882353,2.6470588235294117,14.1,3.526315789473684
MIA,2024,6.717543859649123,1.2941176470588236,0.5882352941176471,2.0588235294117645,13.8,3.3207547169811322
CHI,2024,7.870775347912525,1.0588235294117647,0.6470588235294118,2.2941176470588234,13.2,4.2745098039215685
WAS,2023,7.737458193979933,2.3529411764705883,0.47058823529411764,2.2941176470588234,20.7,4.709677419354839
PHI,2023,6.980061349693251,2.176470588235294,0.5294117647058824,2.4705882352941178,20.6,5.213114754098361
DET,2023,7.758503401360544,1.9411764705882353,0.9411764705882353,2.411764705882353,19.4,4.554347826086956
ARI,2023,7.582178217821782,2.176470588235294,0.6470588235294118,1.8823529411764706,18.9,4.835616438356165
LA,2023,6.945364238410596,1.7647058823529411,0.5882352941176471,2.411764705882353,18.8,4.0
JAX,2023,7.1042345276872965,1.8823529411764706,0.8823529411764706,2.3529411764705883,18.5,4.2625
LAC,2023,7.6644295302013425,1.8235294117647058,0.5294117647058824,2.823529411764706,18.5,3.2857142857142856
ATL,2023,6.752276867030965,1.7647058823529411,0.47058823529411764,2.411764705882353,18.1,4.791208791208791
TB,2023,7.476268412438626,1.7058823529411764,0.7647058823529411,2.823529411764706,18.0,3.7142857142857144
MIA,2023,7.275132275132275,1.8823529411764706,0.8823529411764706,3.2941176470588234,17.3,3.8
HOU,2023,7.6453900709219855,1.411764705882353,0.8235294117647058,2.7058823529411766,17.2,4.3538461538461535
