team,position,full_name,height,weight,gsis_id,years_exp,week,draft_number,avg_time_to_throw,avg_intended_air_yards,aggressiveness,avg_air_yards_to_sticks,completion_percentage_above_expectation,max_air_distance,efficiency,percent_attempts_gte_eight_defenders,rush_yards,rush_yards_over_expected_per_att,avg_cushion,avg_separation,percent_share_of_intended_air_yards,catch_percentage,avg_yac_above_expectation,pass_attempt,rec_attempt,rush_attempt,pass_air_yards,rec_air_yards,pass_completions,receptions,pass_yards_gained,rec_yards_gained,rush_yards_gained,pass_touchdown,rec_touchdown,rush_touchdown,pass_interception,rec_fumble_lost,rush_fumble_lost,pass_yards_gained_diff,rec_yards_gained_diff,rush_yards_gained_diff,pass_touchdown_diff,rec_touchdown_diff,rush_touchdown_diff,pass_attempt_team,rec_attempt_team,rush_attempt_team,opponent,offense_snaps,offense_pct,team_home,team_away,total,spread_line,roof,surface,temp,wind,touches,snap_share,rush_share,weighted_opp_share,total_touchdowns,fantasy_points,delta_touches,touches_3wk_avg,touches_7wk_avg,touches_trend_3v7,snap_share_3wk_avg,snap_share_7wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_7wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_7wk_avg,tds_trend_3v7,rush_ypc,rush_yoe_per_game,rush_yoe_per_att,stacked_box_rate,catch_rate,rec_yards_per_target,team_implied_points,is_favored,abs_spread,def_rush_ypa_allowed,def_rb_carries_allowed,def_rb_receptions_allowed,def_rb_touchdowns_allowed,def_rb_fantasy_points_allowed,years_exp_filled,is_rookie,draft_number_filled,is_undrafted
IND,RB,Ameer Abdullah,69,203,00-0032104,10,10,54,,,,,,,,0,,0,,,,,0,0,1,0,0,3,0,1,0,8,0,0,0,0,0,0,0,0,1.63,0,0,-0.01,0,26,26,41,ATL,5,0.06,IND,ATL,56,6.5,closed,grass,46,2,1,0.06,0,3,0,1.8,-1,2,2.166666667,-0.166666667,0.103333333,0.086666667,0.016666667,1.7,3,-1.3,0,0.166666667,-0.166666667,0,0,0,0,1,8,24.75,0,6.5,4.44,22.38,4.54,0.620.31,17.38,10,0,54,0
IND,RB,Ameer Abdullah,69,203,00-0032104,10,14,54,,,,,,,,0,,0,,,,,0,,0,0,,,,0,0,0,0,0,0,0,,0,0,,,,,,,,,,JAX,17,0.24,JAX,IND,55,-2.5,outdoors,grass,61,7,0,0.24,,0,0,0,0,0.333333333,1.428571429,-1.095238095,0.113333333,0.104285714,0.009047619,0,1.257142857,-1.257142857,0,0,0,0,0,0,0,0,0,26.25,0,2.5,3.87,21.31,4.23,0.920.08,15.54,10,0,54,0
IND,RB,Ameer Abdullah,69,203,00-0032104,10,7,54,,,,,,,,0,,0,,,,,0,0,1,2,0,5,0,1,0,8,19,0,0,0,0,0,0,0,2.46,9.23,0,-0.14,-0.01,34,34,23,LAC,5,0.08,LAC,IND,62,2.5,dome,matrixturf,,,3,0.08,0.086956522,5,0,3.7,1,2.333333333,2.333333333,0,0.07,0.07,0,4.3,4.3,0,0.333333333,0.333333333,0,9.5,0,0,0,1,8,32.25,1,2.5,3.87,21.31,4.23,0.920.08,15.54,10,0,54,0
IND,RB,Ameer Abdullah,69,203,00-0032104,10,12,54,,,,,,,,0,,0,,,,,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-6.81,0,0,-0.03,0,31,31,19,KC,4,0.08,KC,IND,43,3.5,outdoors,grass,,,1,0.08,0,3,0,0,0,1.333333333,2,-0.666666667,0.066666667,0.085714286,-0.019047619,1.1,2.571428571,-1.471428571,0,0.142857143,-0.142857143,0,0,0,0,0,0,23.25,1,3.5,3.87,21.31,4.23,0.920.08,15.54,10,0,54,0
IND,RB,Ameer Abdullah,69,203,00-0032104,10,9,54,,,,,,,,0,,0,,,,,0,0,1,1,0,2,0,1,0,2,3,0,0,0,0,0,0,0,-5.02,-2.25,0,0,-0.01,50,50,19,PIT,5,0.06,PIT,IND,47,-3.5,outdoors,grass,56,2,2,0.06,0.052631579,4,0,1.5,-1,2.666666667,2.4,0.266666667,0.11,0.092,0.018,2.333333333,3.24,-0.906666667,0,0.2,-0.2,3,0,0,0,1,2,21.75,0,3.5,3.87,21.31,4.23,0.920.08,15.54,10,0,54,0
IND,RB,Ameer Abdullah,69,203,00-0032104,10,13,54,,,,,,,,0,,0,,,,,0,,0,0,,,,0,0,0,0,0,0,0,,0,0,,,,,,,,,,HOU,1,0.02,IND,HOU,36,3,closed,fieldturf,,,0,0.02,,0,0,0,-1,0.666666667,1.714285714,-1.047619048,0.053333333,0.077142857,-0.023809524,0.6,1.628571429,-1.028571429,0,0,0,0,0,0,0,0,0,16.5,0,3,3.79,19.46,4,0.770.08,14.08,10,0,54,0
IND,RB,Ameer Abdullah,69,203,00-0032104,10,6,54,,,,,,,,0,,0,,,,,0,0,1,1,0,-2,0,1,0,9,7,0,0,0,0,0,0,0,1.33,2.41,0,-0.01,0,30,30,27,ARI,3,0.05,IND,ARI,58,8.5,closed,fieldturf,,,2,0.05,0.037037037,4,0,2.6,0,2,2,0,0.065,0.065,0,4.6,4.6,0,0.5,0.5,0,7,0,0,0,1,9,24.75,0,8.5,4.79,22.54,4.08,1.080.31,20,10,0,54,0
IND,RB,Ameer Abdullah,69,203,00-0032104,10,8,54,,,,,,,,0,,0,,,,,0,0,1,2,0,-3,0,1,0,3,5,0,0,0,0,0,0,0,-3.91,-4.64,0,-0.01,-0.01,31,31,18,TEN,10,0.19,IND,TEN,52,15.5,closed,fieldturf,,,3,0.19,0.111111111,5,0,1.8,0,2.666666667,2.5,0.166666667,0.106666667,0.1,0.006666667,2.7,3.675,-0.975,0,0.25,-0.25,2.5,0,0,0,1,3,18.25,0,15.5,4.49,21.77,3.46,1.080.15,18.08,10,0,54,0
IND,RB,Ameer Abdullah,69,203,00-0032104,10,5,54,,,,,,,,0,,0,,,,,0,0,0,2,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2.03,0,0,0.29,32,32,25,LV,5,0.08,IND,LV,46,7,closed,fieldturf,,,2,0.08,0.08,2,1,6.6,0,2,2,0,0.08,0.08,0,6.6,6.6,0,1,1,0,3,0,0,0,0,0,19.5,0,7,4.12,23.85,4.54,1.080.08,18.08,10,0,54,0
BAL,RB,Derrick Henry,75,252,00-0032764,9,9,45,,,,,,,2.787563025,57.89473684,119,1.892004968,,,,,0,0,1,19,0,1,0,1,0,2,119,0,0,0,0,0,0,0,-4.39,30.44,0,0,-0.84,23,23,31,MIA,36,0.64,MIA,BAL,34,-7.5,outdoors,grass,73,5,20,0.64,0.612903226,22,0,13.1,-2,22.66666667,17,5.666666667,0.57,0.548571429,0.021428571,15.4,10.9,4.5,0.666666667,0.571428571,0.095238095,6.263157895,35.94809439,1.892004968,57.89473684,1,2,13.25,0,7.5,4.3,20.62,5.15,0.770.23,17.69,9,0,45,0
