team_abbrev,season,def_rush_ypa_allowed,def_rb_carries_allowed,def_rb_receptions_allowed,def_rb_touchdowns_allowed,def_rb_fantasy_points_allowed
PIT,2025,4.4079754601226995,23.285714285714285,4.428571428571429,0.42857142857142855,15.3
HOU,2025,3.7859778597785976,19.357142857142858,4.142857142857143,0.7857142857142857,15.0
DEN,2025,3.9029850746268657,19.142857142857142,2.7142857142857144,0.8571428571428571,14.9
KC,2025,4.067669172932331,19.0,3.9285714285714284,0.7142857142857143,14.9
GB,2025,3.867507886435331,22.642857142857142,4.571428571428571,0.5714285714285714,14.8
DET,2025,4.135416666666667,20.571428571428573,3.4285714285714284,0.6428571428571429,14.2
JAX,2025,3.746987951807229,17.785714285714285,4.5,0.6428571428571429,13.6
SEA,2025,3.5470383275261326,20.5,5.714285714285714,0.42857142857142855,13.6
NE,2025,3.769230769230769,18.571428571428573,5.357142857142857,0.5,13.4
LA,2025,3.75,20.857142857142858,4.642857142857143,0.35714285714285715,13.0
CAR,2024,5.185185185185185,28.58823529411765,4.352941176470588,1.2352941176470589,25.9
JAX,2024,4.371007371007371,23.941176470588236,5.176470588235294,1.1764705882352942,21.5
NE,2024,4.629107981220657,25.058823529411764,3.235294117647059,1.2352941176470589,21.1
CHI,2024,4.932203389830509,24.294117647058822,4.117647058823529,1.0588235294117647,21.1
TEN,2024,4.357320099255583,23.705882352941178,3.2941176470588234,1.2941176470588236,20.8
SF,2024,4.295566502463054,23.88235294117647,4.764705882352941,1.1764705882352942,20.8
NO,2024,4.844559585492228,22.705882352941178,3.8823529411764706,1.1176470588235294,20.6
NYG,2024,4.491686460807601,24.764705882352942,4.764705882352941,0.9411764705882353,20.2
ARI,2024,4.689295039164491,22.529411764705884,4.647058823529412,0.9411764705882353,19.8
BUF,2024,4.438692098092643,21.58823529411765,5.411764705882353,0.9411764705882353,19.5
IND,2024,4.167048054919908,25.705882352941178,4.705882352941177,0.8823529411764706,19.2
WAS,2024,4.89873417721519,23.235294117647058,2.823529411764706,1.0,19.2
DAL,2024,4.396174863387978,21.529411764705884,4.0588235294117645,1.0,19.2
CIN,2024,4.259052924791086,21.11764705882353,4.411764705882353,1.0,17.8
